__row,Source,Kind Code,Document ID,raw_number,norm_number,Date Published,Filing Date
255,US-PGPUB,A1,US 20230342144 A1,20230342144,20230342144,2023-10-26,2022-04-21
256,USPAT,B2,US 11972253 B2,11972253,11972253,2024-04-30,2022-04-21
257,US-PGPUB,A1,US 20230325258 A1,20230325258,20230325258,2023-10-12,2021-08-23
258,USPAT,B2,US 12556454 B2,12556454,12556454,2026-02-17,2021-08-23
259,US-PGPUB,A1,US 20230315032 A1,20230315032,20230315032,2023-10-05,2022-03-31
260,USPAT,B2,US 12332615 B2,12332615,12332615,2025-06-17,2022-03-31
261,US-PGPUB,A1,US 20230311896 A1,20230311896,20230311896,2023-10-05,2022-12-13
262,USPAT,B2,US 12286120 B2,12286120,12286120,2025-04-29,2022-12-13
263,US-PGPUB,A1,US 20230306206 A1,20230306206,20230306206,2023-09-28,2022-07-13
264,US-PGPUB,A1,US 20230295935 A1,20230295935,20230295935,2023-09-21,2021-06-21
265,US-PGPUB,A1,US 20230294735 A1,20230294735,20230294735,2023-09-21,2023-02-28
266,US-PGPUB,A1,US 20230299994 A1,20230299994,20230299994,2023-09-21,2023-01-16
267,US-PGPUB,A1,US 20230300579 A1,20230300579,20230300579,2023-09-21,2022-12-28
268,US-PGPUB,A1,US 20230286035 A1,20230286035,20230286035,2023-09-14,2021-06-30
269,US-PGPUB,A1,US 20230290122 A1,20230290122,20230290122,2023-09-14,2022-03-08
270,USPAT,B2,US 12125262 B2,12125262,12125262,2024-10-22,2022-03-08
271,US-PGPUB,A1,US 20230267837 A1,20230267837,20230267837,2023-08-24,2021-04-20
272,US-PGPUB,A1,US 20230260062 A1,20230260062,20230260062,2023-08-17,2023-04-15
273,US-PGPUB,A1,US 20230259798 A1,20230259798,20230259798,2023-08-17,2023-02-15
274,USPAT,B2,US 12585971 B2,12585971,12585971,2026-03-24,2023-02-15
275,US-PGPUB,A1,US 20260134315 A1,20260134315,20260134315,2026-05-14,2026-01-06
276,US-PGPUB,A1,US 20230236608 A1,20230236608,20230236608,2023-07-27,2023-01-23
277,US-PGPUB,A1,US 20230237795 A1,20230237795,20230237795,2023-07-27,2022-01-21
278,US-PGPUB,A1,US 20230229168 A1,20230229168,20230229168,2023-07-20,2021-05-20
279,US-PGPUB,A1,US 20230227176 A1,20230227176,20230227176,2023-07-20,2022-12-07
280,USPAT,B2,US 12043415 B2,12043415,12043415,2024-07-23,2022-12-07
281,US-PGPUB,A1,US 20230224728 A1,20230224728,20230224728,2023-07-13,2021-05-13
282,USPAT,B2,US 12484096 B2,12484096,12484096,2025-11-25,2021-05-13
283,US-PGPUB,A1,US 20230222801 A1,20230222801,20230222801,2023-07-13,2022-01-10
284,US-PGPUB,A1,US 20230212084 A1,20230212084,20230212084,2023-07-06,2021-06-04
285,USPAT,B2,US 12528749 B2,12528749,12528749,2026-01-20,2021-06-04
286,US-PGPUB,A1,US 20230210579 A1,20230210579,20230210579,2023-07-06,2021-12-30
287,USPAT,B2,US 12207861 B2,12207861,12207861,2025-01-28,2021-12-30
288,USPAT,B1,US 11691727 B1,11691727,11691727,2023-07-04,2020-09-08
289,US-PGPUB,A1,US 20230202512 A1,20230202512,20230202512,2023-06-29,2021-05-11
290,USPAT,B2,US 12275428 B2,12275428,12275428,2025-04-15,2021-05-11
291,US-PGPUB,A1,US 20230192138 A1,20230192138,20230192138,2023-06-22,2022-11-02
292,US-PGPUB,A1,US 20230195455 A1,20230195455,20230195455,2023-06-22,2022-12-15
293,US-PGPUB,A1,US 20230185303 A1,20230185303,20230185303,2023-06-15,2021-05-20
294,US-PGPUB,A1,US 20230175394 A1,20230175394,20230175394,2023-06-08,2021-12-08
295,USPAT,B2,US 11867055 B2,11867055,11867055,2024-01-09,2021-12-08
296,US-PGPUB,A1,US 20230166913 A1,20230166913,20230166913,2023-06-01,2021-04-27
297,USPAT,B2,US 12577048 B2,12577048,12577048,2026-03-17,2021-04-27
298,US-PGPUB,A1,US 20230167653 A1,20230167653,20230167653,2023-06-01,2021-11-29
299,US-PGPUB,A1,US 20230166839 A1,20230166839,20230166839,2023-06-01,2021-12-21
300,US-PGPUB,A1,US 20240076891 A1,20240076891,20240076891,2024-03-07,2023-11-06
301,USPAT,B2,US 12607031 B2,12607031,12607031,2026-04-21,2023-11-06
302,US-PGPUB,A1,US 20230167997 A1,20230167997,20230167997,2023-06-01,2022-11-30
