file,year,url,patents_covered
ipa190530.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190530.zip,3
ipa190606.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190606.zip,2
ipa190627.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190627.zip,1
ipa190704.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190704.zip,3
ipa190718.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190718.zip,1
ipa190725.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190725.zip,1
ipa190808.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190808.zip,1
ipa190822.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190822.zip,1
ipa190829.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190829.zip,1
ipa190905.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190905.zip,1
ipa190919.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190919.zip,1
ipa190926.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190926.zip,2
ipa191010.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191010.zip,3
ipa191017.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191017.zip,2
ipa191031.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191031.zip,1
ipa191114.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191114.zip,1
ipa191121.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191121.zip,1
ipa191205.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191205.zip,1
ipa191226.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa191226.zip,1
ipa200102.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200102.zip,1
ipa200116.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200116.zip,2
ipa200130.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200130.zip,2
ipa200206.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200206.zip,1
ipa200213.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200213.zip,4
ipa200220.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200220.zip,3
ipa200305.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200305.zip,3
ipa200319.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200319.zip,1
ipa200326.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200326.zip,2
ipa200409.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200409.zip,2
ipa200416.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200416.zip,1
ipa200507.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200507.zip,1
ipa200514.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200514.zip,2
ipa200521.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200521.zip,1
ipa200528.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200528.zip,3
ipa200618.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200618.zip,2
ipa200625.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200625.zip,2
ipa200702.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200702.zip,2
ipa200723.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200723.zip,1
ipa200730.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200730.zip,1
ipa200813.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200813.zip,4
ipa200827.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200827.zip,1
ipa200910.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa200910.zip,1
ipa201008.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201008.zip,1
ipa201022.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201022.zip,1
ipa201029.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201029.zip,1
ipa201105.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201105.zip,1
ipa201119.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201119.zip,2
ipa201203.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201203.zip,1
ipa201217.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201217.zip,2
ipa201224.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201224.zip,5
ipa201231.zip,2020,https://data.uspto.gov/ui/datasets/products/files/APPXML/2020/ipa201231.zip,1
ipa210121.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210121.zip,3
ipa210128.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210128.zip,1
ipa210204.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210204.zip,2
ipa210211.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210211.zip,3
ipa210218.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210218.zip,1
ipa210311.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210311.zip,3
ipa210318.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210318.zip,3
ipa210325.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210325.zip,2
ipa210401.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210401.zip,1
ipa210408.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210408.zip,3
ipa210415.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210415.zip,1
ipa210422.zip,2021,https://data.uspto.gov/ui/datasets/products/files/APPXML/2021/ipa210422.zip,4
