citing_pub,cited_pub,cited_pub_normalized,cited_pub_country,cited_ipc,cited_cpc,cited_national_class,category,citation_type,cited_npl_text,cited_ipc3
8731724,5566092,5566092,US,,,,cited by applicant,patcit,,
8731724,5568377,5568377,US,,,,cited by applicant,patcit,,
8731724,5572878,5572878,US,,,,cited by applicant,patcit,,
8731724,5582021,5582021,US,,,,cited by applicant,patcit,,
8731724,5590830,5590830,US,,,,cited by applicant,patcit,,
8731724,5592147,5592147,US,,,,cited by applicant,patcit,,
8731724,5596507,5596507,US,,,700276,cited by examiner,patcit,,
8731724,5602761,5602761,US,,,702179,cited by examiner,patcit,,
8731724,5663963,5663963,US,,,,cited by applicant,patcit,,
8731724,5675979,5675979,US,,,,cited by applicant,patcit,,
8731724,5682329,5682329,US,,,,cited by applicant,patcit,,
8731724,5751916,5751916,US,,,,cited by applicant,patcit,,
8731724,5769315,5769315,US,,,,cited by applicant,patcit,,
8731724,5791408,5791408,US,,,,cited by applicant,patcit,,
8731724,5838561,5838561,US,,,,cited by applicant,patcit,,
8731724,5867384,5867384,US,,,,cited by applicant,patcit,,
8731724,5911127,5911127,US,,,702190,cited by examiner,patcit,,
8731724,5918200,5918200,US,,,702180,cited by examiner,patcit,,
8731724,5924486,5924486,US,,,,cited by applicant,patcit,,
8731724,5963458,5963458,US,,,,cited by applicant,patcit,,
8731724,6005577,6005577,US,,,,cited by applicant,patcit,,
8731724,6006142,6006142,US,,,,cited by applicant,patcit,,
8731724,6012152,6012152,US,,,,cited by applicant,patcit,,
8731724,6021401,6021401,US,,,,cited by applicant,patcit,,
8731724,6029092,6029092,US,,,,cited by applicant,patcit,,
8731724,6058161,6058161,US,,,,cited by applicant,patcit,,
8731724,6067083,6067083,US,,,,cited by applicant,patcit,,
8731724,6122603,6122603,US,,,,cited by applicant,patcit,,
8731724,6122605,6122605,US,,,,cited by applicant,patcit,,
8731724,6161764,6161764,US,,,,cited by applicant,patcit,,
8731724,6178362,6178362,US,,,700295,cited by examiner,patcit,,
8731724,6185483,6185483,US,,,700295,cited by examiner,patcit,,
8731724,6216956,6216956,US,,,,cited by applicant,patcit,,
8731724,6219590,6219590,US,,,,cited by applicant,patcit,,
8731724,6223544,6223544,US,,,,cited by applicant,patcit,,
8731724,6265843,6265843,US,,,,cited by applicant,patcit,,
8731724,6269650,6269650,US,,,,cited by applicant,patcit,,
8731724,6282910,6282910,US,,,,cited by applicant,patcit,,
8731724,6296193,6296193,US,,,,cited by applicant,patcit,,
8731724,6324659,6324659,US,,,,cited by applicant,patcit,,
8731724,6366832,6366832,US,,,,cited by applicant,patcit,,
8731724,6366889,6366889,US,,,,cited by applicant,patcit,,
8731724,6369716,6369716,US,,,,cited by applicant,patcit,,
8731724,6389331,6389331,US,,,,cited by applicant,patcit,,
8731724,6408228,6408228,US,,,,cited by applicant,patcit,,
8731724,6415276,6415276,US,,,,cited by applicant,patcit,,
8731724,6415617,6415617,US,,,,cited by applicant,patcit,,
8731724,6456622,6456622,US,,,,cited by applicant,patcit,,
8731724,6477439,6477439,US,,,,cited by applicant,patcit,,
8731724,6535865,6535865,US,,,,cited by applicant,patcit,,
8731724,6556950,6556950,US,,,,cited by applicant,patcit,,
8731724,6577962,6577962,US,,,,cited by applicant,patcit,,
8731724,6594554,6594554,US,,,,cited by applicant,patcit,,
8731724,6622264,6622264,US,,,,cited by applicant,patcit,,
8731724,6626366,6626366,US,,,,cited by applicant,patcit,,
8731724,6631299,6631299,US,,,,cited by applicant,patcit,,
8731724,6633782,6633782,US,,,,cited by applicant,patcit,,
8731724,6651034,6651034,US,,,,cited by applicant,patcit,,
8731724,6684208,6684208,US,,,,cited by applicant,patcit,,
8731724,6687685,6687685,US,,,,cited by applicant,patcit,,
8731724,6757668,6757668,US,,,,cited by applicant,patcit,,
8731724,6785592,6785592,US,,,,cited by applicant,patcit,,
8731724,6816811,6816811,US,,,,cited by applicant,patcit,,
8731724,6834208,6834208,US,,,,cited by applicant,patcit,,
8731724,6853882,6853882,US,,,,cited by applicant,patcit,,
8731724,6862499,6862499,US,,,,cited by applicant,patcit,,
8731724,6862540,6862540,US,,,,cited by applicant,patcit,,
8731724,6865449,6865449,US,,,,cited by applicant,patcit,,
8731724,6891536,6891536,US,,,,cited by applicant,patcit,,
8731724,6937909,6937909,US,,,,cited by applicant,patcit,,
8731724,6944524,6944524,US,,,,cited by applicant,patcit,,
8731724,6968295,6968295,US,,,,cited by applicant,patcit,,
8731724,6973793,6973793,US,,,,cited by applicant,patcit,,
8731724,6996508,6996508,US,,,,cited by applicant,patcit,,
8731724,7031880,7031880,US,,,,cited by applicant,patcit,,
8731724,7043661,7043661,US,,,,cited by applicant,patcit,,
8731724,7096387,7096387,US,,,,cited by applicant,patcit,,
8731724,7110919,7110919,US,,,,cited by applicant,patcit,,
8731724,7113890,7113890,US,,,,cited by applicant,patcit,,
8731724,7113988,7113988,US,,,,cited by applicant,patcit,,
8731724,7124637,7124637,US,,,,cited by applicant,patcit,,
8731724,7181648,7181648,US,,,,cited by applicant,patcit,,
8731724,7212887,7212887,US,,,,cited by applicant,patcit,,
8731724,7216021,7216021,US,,,,cited by applicant,patcit,,
8731724,7218974,7218974,US,,,,cited by applicant,patcit,,
8731724,7225089,7225089,US,,,,cited by applicant,patcit,,
8731724,7231281,7231281,US,,,,cited by applicant,patcit,,
8731724,7246039,7246039,US,,,,cited by applicant,patcit,,
8731724,7251582,7251582,US,,,,cited by applicant,patcit,,
8731724,7257744,7257744,US,,,,cited by applicant,patcit,,
8731724,7356548,7356548,US,,,,cited by applicant,patcit,,
8731724,7409303,7409303,US,,,,cited by applicant,patcit,,
8731724,7434089,7434089,US,,,714  61,cited by examiner,patcit,,
8731724,7434413,7434413,US,,,,cited by applicant,patcit,,
8731724,7444251,7444251,US,,,,cited by applicant,patcit,,
8731724,7451003,7451003,US,,,,cited by applicant,patcit,,
8731724,7451017,7451017,US,,,,cited by applicant,patcit,,
8731724,7519485,7519485,US,,,,cited by applicant,patcit,,
8731724,7552033,7552033,US,,,,cited by applicant,patcit,,
8731724,7567844,7567844,US,,,,cited by applicant,patcit,,
